"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipStreamCreate",3,629458929,209819643,82.19021383565092
"hipStreamSynchronize",3,76414936,25471645,9.977712032864943
"hipLaunchKernel",4,47693555,11923388,6.22748094186202
"hipMemcpy",1,9470621,9470621,1.2366054865295368
"hipMemcpyAsync",3,1312682,437560,0.1714005621456677
"hipStreamDestroy",3,1300237,433412,0.1697755836696142
"hipHostMalloc",3,101817,33939,0.01329453061441038
"hipFree",6,57812,9635,0.0075486746209404414
"hipMalloc",3,28645,9548,0.0037402578100885447
"hipMallocAsync",3,13046,4348,0.0017034527278902132
"hipDeviceSynchronize",1,2044,2044,0.00026689079992393036
"__hipPushCallConfiguration",4,1011,252,0.0001320090991795957
"__hipPopCallConfiguration",4,683,170,8.91812213053055e-05
"hipGetLastError",3,280,93,3.6560383551223336e-05
